job started at Mon Apr 6 16:48:35 EDT 2020
0	B	1	2	415	1	3	384
1	C	2	4	180	2	1	203
2	B	3	4	205	3	1	210
3	A	4	2	939	4	1	940
4	B	1	2	902	1	3	921
5	B	2	4	771	2	1	796
6	A	3	4	348	3	1	347
7	C	4	2	394	4	1	501
8	B	1	2	850	1	3	845
9	A	2	4	176	2	1	183
10	C	3	4	473	3	1	422
11	B	4	2	747	4	1	756
12	C	1	2	625	1	3	526
13	C	2	4	37	2	1	90
14	B	3	4	580	3	1	603
15	B	4	2	850	4	1	845
16	C	1	2	884	1	3	779
17	D	2	4	956	2	1	579
18	C	3	4	12	3	1	115
19	C	4	4	95	4	3	32
20	A	1	4	59	1	1	60
21	D	2	2	176	2	3	335
22	B	3	2	775	3	3	792
23	D	4	4	351	4	3	160
24	A	1	4	351	1	1	344
25	C	2	2	987	2	3	932
26	C	3	2	324	3	3	315
27	D	4	4	608	4	3	927
28	B	1	4	874	1	1	885
29	A	2	2	331	2	3	332
30	D	3	2	539	3	3	996
31	C	4	4	940	4	3	979
32	D	1	4	409	1	1	102
33	C	2	2	480	2	3	415
34	B	3	2	492	3	3	499
35	A	4	4	970	4	3	973
36	B	1	4	276	1	1	267
37	C	2	2	541	2	3	610
38	A	3	2	353	3	3	358
39	D	4	2	109	4	3	402
40	A	1	2	26	1	3	29
41	D	2	4	210	2	1	301
42	C	3	4	691	3	1	716
43	D	4	2	436	4	3	75
44	A	1	2	125	1	3	122
45	A	2	4	124	2	1	123
46	B	3	4	556	3	1	563
47	B	4	2	863	4	3	832
48	B	1	2	419	1	3	444
49	C	2	4	818	2	1	845
50	B	3	4	633	3	1	614
51	A	4	2	970	4	3	973
52	D	1	2	320	1	3	191
53	A	2	4	441	2	1	446
54	C	3	4	231	3	1	152
55	A	4	2	902	4	3	897
56	D	1	2	740	1	3	795
57	D	2	4	267	2	1	244
58	A	3	4	110	3	1	105
59	C	4	4	150	4	1	233
60	C	1	4	792	1	1	871
61	C	2	2	408	2	3	487
62	B	3	2	187	3	3	164
63	B	4	4	819	4	1	812
64	D	1	4	680	1	1	855
65	B	2	2	357	2	3	378
66	D	3	2	805	3	3	730
67	C	4	4	1001	4	1	918
68	A	1	4	229	1	1	226
69	B	2	2	505	2	3	486
70	B	3	2	783	3	3	784
71	D	4	4	349	4	1	162
72	D	1	4	293	1	1	218
73	A	2	2	284	2	3	283
