job started at Mon Apr 6 17:58:57 EDT 2020
0	A	1	14	292	1	13	291
1	A	2	24	580	2	3	579
2	C	3	6	336	3	23	303
3	A	4	6	348	4	3	347
4	C	1	12	182	1	7	201
5	D	2	24	713	2	3	822
6	C	3	6	553	3	23	598
7	B	4	6	27	4	3	4
8	D	1	12	50	1	7	461
9	B	2	24	306	2	3	301
10	D	3	6	86	3	23	425
11	C	4	6	686	4	3	721
12	D	1	12	428	1	7	83
13	C	2	24	817	2	3	846
14	D	3	6	19	3	23	492
15	B	4	6	331	4	3	340
16	C	1	12	347	1	7	292
17	D	2	24	850	2	3	685
18	C	3	6	255	3	23	128
19	A	4	6	669	4	3	666
20	B	1	12	787	1	7	780
21	D	2	4	253	2	7	258
22	C	3	22	122	3	3	5
23	B	4	14	591	4	5	592
24	A	1	10	922	1	5	925
25	C	2	4	93	2	7	34
26	A	3	22	280	3	3	287
27	D	4	14	218	4	5	293
28	B	1	10	957	1	5	930
29	B	2	4	657	2	7	654
30	D	3	22	653	3	3	882
31	C	4	14	433	4	5	462
32	B	1	10	661	1	5	650
33	A	2	4	5	2	7	2
34	C	3	22	47	3	3	80
35	D	4	14	797	4	5	738
36	B	1	10	222	1	5	193
37	D	2	4	898	2	7	637
38	A	3	22	499	3	3	500
39	C	4	14	322	4	5	317
40	D	1	10	955	1	5	580
41	B	2	22	509	2	23	482
42	C	3	12	699	3	7	708
43	D	4	10	74	4	17	437
44	C	1	16	39	1	21	88
45	A	2	22	250	2	23	253
46	A	3	12	987	3	7	988
47	D	4	10	595	4	17	940
48	A	1	16	123	1	21	124
49	B	2	22	733	2	23	706
50	B	3	12	990	3	7	961
51	A	4	10	511	4	17	504
52	A	1	16	325	1	21	322
53	D	2	22	305	2	23	206
54	C	3	12	36	3	7	91
55	C	4	10	352	4	17	287
56	C	1	16	398	1	21	497
57	A	2	22	945	2	23	950
58	A	3	12	547	3	7	548
59	A	4	10	631	4	17	624
60	B	1	16	648	1	21	663
61	A	2	12	318	2	21	313
62	B	3	2	304	3	21	303
63	D	4	4	293	4	7	218
64	B	1	8	816	1	23	815
65	D	2	12	853	2	21	682
66	C	3	2	160	3	21	223
67	D	4	4	124	4	7	387
68	C	1	8	937	1	23	982
69	D	2	12	314	2	21	197
70	A	3	2	676	3	21	675
71	B	4	4	423	4	7	440
72	A	1	8	706	1	23	709
