job started at Mon Apr 6 17:58:57 EDT 2020
0	A	1	14	429	1	13	426
1	D	2	14	7	2	11	504
2	C	3	14	478	3	17	417
3	D	4	14	3	4	9	508
4	C	1	14	351	1	13	288
5	C	2	14	384	2	11	511
6	C	3	14	813	3	17	850
7	C	4	14	844	4	9	819
8	C	1	14	366	1	13	273
9	C	2	14	623	2	11	528
10	D	3	14	693	3	17	842
11	A	4	14	113	4	9	118
12	C	1	14	629	1	13	522
13	A	2	14	353	2	11	358
14	B	3	12	118	3	23	105
15	B	4	12	363	4	1	372
16	A	1	12	662	1	11	657
17	D	2	12	779	2	23	756
18	B	3	12	663	3	23	648
19	B	4	12	649	4	1	662
20	B	1	12	630	1	11	617
21	D	2	12	629	2	23	906
22	C	3	12	1005	3	23	914
23	C	4	12	884	4	1	779
24	C	1	12	174	1	11	209
25	D	2	12	92	2	23	419
26	A	3	12	830	3	23	825
27	D	4	12	33	4	1	478
28	B	1	12	619	1	11	628
29	A	2	12	942	2	23	937
30	A	3	12	4	3	23	3
31	A	4	12	792	4	1	799
32	D	1	12	327	1	11	184
33	B	2	12	561	2	23	558
34	A	3	10	941	3	21	938
35	C	4	10	557	4	13	594
36	D	1	10	804	1	7	731
37	D	2	10	778	2	7	757
38	A	3	10	628	3	21	627
39	C	4	10	567	4	13	584
40	D	1	10	400	1	7	111
41	D	2	10	310	2	7	201
42	A	3	10	689	3	21	694
43	D	4	10	632	4	13	903
44	D	1	10	485	1	7	26
45	C	2	10	843	2	7	820
46	C	3	10	335	3	21	304
47	C	4	10	750	4	13	657
48	A	1	10	456	1	7	463
49	C	2	10	185	2	7	198
50	A	3	10	938	3	21	941
51	C	4	10	807	4	13	856
52	B	1	10	734	1	7	705
53	D	2	10	892	2	7	643
54	B	3	8	110	3	1	113
55	B	4	8	530	4	23	525
56	D	1	8	506	1	1	5
57	B	2	8	520	2	5	535
58	A	3	8	830	3	1	825
59	D	4	8	981	4	23	554
60	C	1	8	666	1	1	741
61	D	2	8	866	2	5	669
62	C	3	8	996	3	1	923
63	B	4	8	380	4	23	355
64	A	1	8	949	1	1	946
65	C	2	8	700	2	5	707
66	A	3	8	886	3	1	881
67	C	4	8	487	4	23	408
68	C	1	8	701	1	1	706
69	A	2	8	309	2	5	306
70	D	3	8	712	3	1	823
71	D	4	8	1020	4	23	515
72	D	1	8	321	1	1	190
73	D	2	8	47	2	5	464
Total producer execution time using time(2) = 191.000000
Total consumer execution time using time(2) = 698.000000
job ended at Mon Apr 6 17:59:20 EDT 2020
