job started at Mon Apr 6 17:27:57 EDT 2020
0	B	1	12	415	1	9	384
1	C	2	2	180	2	1	203
2	B	3	6	205	3	13	210
3	A	4	8	939	4	13	940
4	B	1	12	902	1	9	921
5	B	2	2	771	2	1	796
6	A	3	6	348	3	13	347
7	C	4	8	394	4	13	501
8	B	1	12	850	1	9	845
9	A	2	2	176	2	1	183
10	C	3	6	473	3	13	422
11	B	4	8	747	4	13	756
12	C	1	12	625	1	9	526
13	C	2	2	37	2	1	90
14	B	3	6	580	3	13	603
15	B	4	8	850	4	13	845
16	C	1	12	884	1	9	779
17	D	2	2	956	2	1	579
18	C	3	6	12	3	13	115
19	C	4	10	95	4	1	32
20	A	1	8	59	1	5	60
21	D	2	16	176	2	5	335
22	B	3	10	775	3	15	792
23	D	4	10	351	4	1	160
24	A	1	8	351	1	5	344
25	C	2	16	987	2	5	932
26	C	3	10	324	3	15	315
27	D	4	10	608	4	1	927
28	B	1	8	874	1	5	885
29	A	2	16	331	2	5	332
30	D	3	10	539	3	15	996
31	C	4	10	940	4	1	979
32	D	1	8	409	1	5	102
33	C	2	16	480	2	5	415
34	B	3	10	492	3	15	499
35	A	4	10	970	4	1	973
36	B	1	8	276	1	5	267
37	C	2	16	541	2	5	610
38	A	3	10	353	3	15	358
39	D	4	14	109	4	15	402
40	A	1	16	26	1	1	29
41	D	2	6	210	2	15	301
42	C	3	2	691	3	5	716
43	D	4	14	436	4	15	75
44	A	1	16	125	1	1	122
45	A	2	6	124	2	15	123
46	B	3	2	556	3	5	563
47	B	4	14	863	4	15	832
48	B	1	16	419	1	1	444
49	C	2	6	818	2	15	845
50	B	3	2	633	3	5	614
51	A	4	14	970	4	15	973
52	D	1	16	320	1	1	191
53	A	2	6	441	2	15	446
54	C	3	2	231	3	5	152
55	A	4	14	902	4	15	897
56	D	1	16	740	1	1	795
57	D	2	6	267	2	15	244
58	A	3	2	110	3	5	105
59	C	4	6	150	4	11	233
60	C	1	2	792	1	15	871
61	C	2	10	408	2	11	487
62	B	3	4	187	3	1	164
63	B	4	6	819	4	11	812
64	D	1	2	680	1	15	855
65	B	2	10	357	2	11	378
66	D	3	4	805	3	1	730
67	C	4	6	1001	4	11	918
68	A	1	2	229	1	15	226
69	B	2	10	505	2	11	486
70	B	3	4	783	3	1	784
71	D	4	6	349	4	11	162
72	D	1	2	293	1	15	218
73	A	2	10	284	2	11	283
74	D	3	4	204	3	1	307
75	A	4	6	128	4	11	135
76	B	1	2	330	1	15	341
77	B	2	10	647	2	11	664
78	D	3	4	736	3	1	799
79	B	4	12	856	4	3	839
80	B	1	10	235	1	11	244
81	A	2	4	42	2	15	45
82	A	3	16	848	3	3	855
83	D	4	12	1020	4	3	515
84	B	1	10	915	1	11	908
85	B	2	4	269	2	15	274
86	D	3	16	706	3	3	829
87	D	4	12	62	4	3	449
88	D	1	10	696	1	11	839
89	C	2	4	780	2	15	883
90	A	3	16	366	3	3	361
91	C	4	12	194	4	3	189
92	C	1	10	556	1	11	595
93	A	2	4	174	2	15	169
94	C	3	16	869	3	3	794
95	B	4	12	261	4	3	282
96	C	1	10	724	1	11	683
97	B	2	4	47	2	15	48
98	B	3	16	286	3	3	257
99	D	4	16	44	4	5	467
100	A	1	4	263	1	13	256
101	B	2	14	67	2	3	92
102	B	3	10	589	3	13	594
103	D	4	16	934	4	5	601
104	D	1	4	921	1	13	614
105	D	2	14	236	2	3	275
106	B	3	10	400	3	13	399
107	A	4	16	434	4	5	437
108	D	1	4	403	1	13	108
109	B	2	14	64	2	3	95
110	A	3	10	712	3	13	719
111	B	4	16	738	4	5	765
112	A	1	4	836	1	13	835
113	C	2	14	1016	2	3	903
114	C	3	10	330	3	13	309
115	D	4	16	161	4	5	350
116	C	1	4	378	1	13	261
117	A	2	14	210	2	3	213
118	A	3	10	669	3	13	666
119	A	4	2	155	4	9	156
120	B	1	14	743	1	5	760
121	D	2	12	337	2	7	174
122	D	3	12	584	3	7	951
123	D	4	2	383	4	9	128
124	B	1	14	873	1	5	886
125	A	2	12	179	2	7	180
126	C	3	12	544	3	7	607
127	C	4	2	382	4	9	257
128	B	1	14	853	1	5	842
129	A	2	12	584	2	7	591
130	B	3	12	377	3	7	358
131	C	4	2	543	4	9	608
132	A	1	14	11	1	5	12
133	B	2	12	204	2	7	211
134	D	3	12	840	3	7	695
135	C	4	2	680	4	9	727
136	D	1	14	78	1	5	433
137	C	2	12	213	2	7	170
138	A	3	12	995	3	7	996
139	B	4	4	263	4	7	280
140	B	1	12	438	1	1	425
141	B	2	2	214	2	1	201
142	A	3	8	719	3	9	712
143	C	4	4	494	4	7	401
144	D	1	12	620	1	1	915
145	B	2	2	85	2	1	74
146	A	3	8	855	3	9	848
147	D	4	4	719	4	7	816
148	B	1	12	786	1	1	781
149	B	2	2	399	2	1	400
150	A	3	8	128	3	9	135
151	C	4	4	227	4	7	156
152	B	1	12	402	1	1	397
153	D	2	2	922	2	1	613
154	D	3	8	679	3	9	856
155	B	4	4	439	4	7	424
156	C	1	12	289	1	1	350
157	B	2	2	847	2	1	848
158	C	3	8	614	3	9	537
159	B	4	8	430	4	1	433
160	D	1	6	278	1	7	233
161	D	2	8	897	2	9	638
162	C	3	6	970	3	15	949
163	D	4	8	484	4	1	27
164	D	1	6	472	1	7	39
165	D	2	8	386	2	9	125
166	A	3	6	259	3	15	260
167	B	4	8	529	4	1	526
168	D	1	6	917	1	7	618
169	D	2	8	858	2	9	677
170	D	3	6	66	3	15	445
171	C	4	8	324	4	1	315
172	D	1	6	992	1	7	543
173	D	2	8	175	2	9	336
174	B	3	6	66	3	15	93
175	B	4	8	141	4	1	146
176	A	1	6	920	1	7	927
177	B	2	8	872	2	9	887
178	A	3	6	82	3	15	85
179	C	4	10	231	4	15	152
180	D	1	8	828	1	3	707
181	A	2	6	856	2	11	863
182	D	3	14	328	3	11	183
183	C	4	10	1005	4	15	914
184	C	1	8	387	1	3	508
185	A	2	6	574	2	11	569
186	B	3	14	436	3	11	427
187	B	4	10	225	4	15	254
188	B	1	8	521	1	3	534
189	B	2	6	924	2	11	899
190	D	3	14	76	3	11	435
191	B	4	10	589	4	15	594
192	A	1	8	40	1	3	47
193	A	2	6	746	2	11	749
194	D	3	14	850	3	11	685
195	B	4	10	687	4	15	688
196	C	1	8	403	1	3	492
197	D	2	6	69	2	11	442
198	D	3	14	761	3	11	774
199	C	4	14	506	4	11	389
200	A	1	2	301	1	11	298
201	C	2	10	954	2	5	965
202	C	3	2	479	3	5	416
203	B	4	14	222	4	11	193
204	A	1	2	201	1	11	206
205	B	2	10	988	2	5	963
206	B	3	2	964	3	5	987
207	A	4	14	43	4	11	44
208	C	1	2	625	1	11	526
209	A	2	10	356	2	5	355
210	B	3	2	365	3	5	370
211	C	4	14	981	4	11	938
212	A	1	2	116	1	11	115
213	D	2	10	496	2	5	15
214	C	3	2	309	3	5	330
215	B	4	14	13	4	11	18
216	C	1	2	799	1	11	864
217	A	2	10	502	2	5	497
218	C	3	2	223	3	5	160
219	B	4	6	516	4	13	539
220	D	1	16	431	1	9	80
221	D	2	16	994	2	13	541
222	D	3	4	419	3	1	92
223	A	4	6	468	4	13	467
224	C	1	16	434	1	9	461
225	B	2	16	158	2	13	129
226	C	3	4	357	3	1	282
227	A	4	6	627	4	13	628
228	D	1	16	32	1	9	479
229	C	2	16	659	2	13	748
230	B	3	4	42	3	1	53
231	C	4	6	1	4	13	126
232	B	1	16	718	1	9	721
233	B	2	16	232	2	13	247
234	B	3	4	763	3	1	740
235	B	4	6	109	4	13	114
236	C	1	16	669	1	9	738
237	D	2	16	643	2	13	892
238	B	3	4	587	3	1	596
239	A	4	16	632	4	9	639
240	D	1	10	846	1	15	689
241	B	2	14	475	2	7	452
242	A	3	8	953	3	9	958
243	A	4	16	331	4	9	332
244	D	1	10	43	1	15	468
245	A	2	14	405	2	7	402
246	D	3	8	860	3	9	675
247	A	4	16	273	4	9	278
248	D	1	10	91	1	15	420
249	C	2	14	190	2	7	193
250	A	3	8	364	3	9	363
251	D	4	16	719	4	9	816
252	D	1	10	330	1	15	181
253	D	2	14	274	2	7	237
254	C	3	8	770	3	9	893
255	D	4	16	427	4	9	84
256	C	1	10	95	1	15	32
257	C	2	14	151	2	7	232
258	B	3	8	698	3	9	677
259	B	4	10	234	4	13	245
260	C	1	4	251	1	13	132
261	D	2	2	610	2	15	925
262	C	3	12	159	3	11	224
263	A	4	10	784	4	13	791
264	C	1	4	75	1	13	52
