job started at Mon Apr 6 17:12:11 EDT 2020
0	A	1	8	292	1	7	291
1	A	2	6	580	2	3	579
2	C	3	4	336	3	7	303
3	A	4	4	348	4	5	347
4	C	1	6	182	1	5	201
5	D	2	6	713	2	3	822
6	C	3	4	553	3	7	598
7	B	4	4	27	4	5	4
8	D	1	6	50	1	5	461
9	B	2	6	306	2	3	301
10	D	3	4	86	3	7	425
11	C	4	4	686	4	5	721
12	D	1	6	428	1	5	83
13	C	2	6	817	2	3	846
14	D	3	4	19	3	7	492
15	B	4	4	331	4	5	340
16	C	1	6	347	1	5	292
17	D	2	6	850	2	3	685
18	C	3	4	255	3	7	128
19	A	4	4	669	4	5	666
20	B	1	6	787	1	5	780
21	D	2	8	253	2	5	258
22	C	3	2	122	3	3	5
23	B	4	2	591	4	7	592
24	A	1	2	922	1	7	925
25	C	2	8	93	2	5	34
26	A	3	2	280	3	3	287
27	D	4	2	218	4	7	293
28	B	1	2	957	1	7	930
29	B	2	8	657	2	5	654
30	D	3	2	653	3	3	882
31	C	4	2	433	4	7	462
32	B	1	2	661	1	7	650
33	A	2	8	5	2	5	2
34	C	3	2	47	3	3	80
35	D	4	2	797	4	7	738
36	B	1	2	222	1	7	193
37	D	2	8	898	2	5	637
38	A	3	2	499	3	3	500
39	C	4	2	322	4	7	317
40	D	1	2	955	1	7	580
41	B	2	2	509	2	7	482
42	C	3	6	699	3	5	708
43	D	4	8	74	4	1	437
44	C	1	4	39	1	3	88
45	A	2	2	250	2	7	253
46	A	3	6	987	3	5	988
47	D	4	8	595	4	1	940
48	A	1	4	123	1	3	124
49	B	2	2	733	2	7	706
50	B	3	6	990	3	5	961
51	A	4	8	511	4	1	504
52	A	1	4	325	1	3	322
53	D	2	2	305	2	7	206
54	C	3	6	36	3	5	91
55	C	4	8	352	4	1	287
56	C	1	4	398	1	3	497
57	A	2	2	945	2	7	950
58	A	3	6	547	3	5	548
59	A	4	8	631	4	1	624
60	B	1	4	648	1	3	663
61	A	2	4	318	2	1	313
62	B	3	8	304	3	1	303
63	D	4	6	293	4	7	218
64	B	1	8	816	1	5	815
65	D	2	4	853	2	1	682
66	C	3	8	160	3	1	223
67	D	4	6	124	4	7	387
68	C	1	8	937	1	5	982
69	D	2	4	314	2	1	197
70	A	3	8	676	3	1	675
71	B	4	6	423	4	7	440
72	A	1	8	706	1	5	709
73	C	2	4	397	2	1	498
74	B	3	8	961	3	1	990
75	A	4	6	236	4	7	235
76	A	1	8	940	1	5	939
77	D	2	4	387	2	1	124
78	A	3	8	662	3	1	657
79	A	4	6	965	4	7	962
80	D	1	8	799	1	5	736
81	B	2	6	579	2	3	604
82	A	3	4	134	3	3	129
83	C	4	4	884	4	3	779
84	B	1	6	812	1	1	819
85	A	2	6	586	2	3	589
86	A	3	4	688	3	3	695
87	C	4	4	22	4	3	105
88	C	1	6	685	1	1	722
89	D	2	6	900	2	3	635
90	D	3	4	353	3	3	158
91	B	4	4	151	4	3	136
92	C	1	6	63	1	1	64
93	D	2	6	919	2	3	616
94	D	3	4	446	3	3	65
95	C	4	4	684	4	3	723
96	C	1	6	895	1	1	768
97	A	2	6	552	2	3	559
98	B	3	4	609	3	3	638
99	C	4	4	488	4	3	407
100	C	1	6	1021	1	1	898
101	C	2	8	211	2	7	172
102	C	3	2	959	3	7	960
103	B	4	8	740	4	1	763
104	B	1	4	637	1	3	610
105	C	2	8	950	2	7	969
106	D	3	2	897	3	7	638
107	D	4	8	498	4	1	13
108	B	1	4	984	1	3	967
109	A	2	8	951	2	7	944
110	A	3	2	319	3	7	312
111	A	4	8	75	4	1	76
112	B	1	4	20	1	3	11
113	A	2	8	54	2	7	49
114	D	3	2	958	3	7	577
115	D	4	8	627	4	1	908
116	B	1	4	131	1	3	156
117	D	2	8	472	2	7	39
118	B	3	2	810	3	7	821
119	A	4	8	633	4	1	638
120	A	1	4	590	1	3	585
121	C	2	2	5	2	5	122
122	C	3	8	88	3	1	39
123	A	4	2	471	4	5	464
124	A	1	2	240	1	7	247
125	D	2	2	555	2	5	980
126	A	3	8	484	3	1	483
127	C	4	2	227	4	5	156
128	C	1	2	854	1	7	809
129	A	2	2	707	2	5	708
130	A	3	8	200	3	1	207
131	D	4	2	39	4	5	472
132	A	1	2	243	1	7	244
133	A	2	2	380	2	5	379
134	A	3	8	140	3	1	139
135	C	4	2	350	4	5	289
136	D	1	2	464	1	7	47
137	D	2	2	328	2	5	183
138	D	3	8	194	3	1	317
139	B	4	2	704	4	5	735
140	A	1	2	122	1	7	125
141	A	2	6	313	2	3	318
142	D	3	6	326	3	5	185
143	A	4	6	367	4	3	360
144	B	1	8	109	1	1	114
145	A	2	6	386	2	3	389
146	B	3	6	536	3	5	519
147	C	4	6	23	4	3	104
148	C	1	8	308	1	1	331
149	B	2	6	807	2	3	824
150	A	3	6	603	3	5	604
151	B	4	6	640	4	3	671
152	B	1	8	96	1	1	127
153	D	2	6	68	2	3	443
154	C	3	6	575	3	5	576
155	D	4	6	463	4	3	48
156	B	1	8	378	1	1	357
157	D	2	6	754	2	3	781
158	D	3	6	1023	3	5	512
159	A	4	6	788	4	3	787
160	D	1	8	677	1	1	858
161	D	2	4	507	2	1	4
162	C	3	4	647	3	3	760
163	A	4	8	1007	4	5	1000
164	C	1	6	774	1	5	889
165	C	2	4	169	2	1	214
166	A	3	4	206	3	3	201
167	D	4	8	222	4	5	289
168	A	1	6	595	1	5	596
169	D	2	4	109	2	1	402
170	D	3	4	739	3	3	796
171	B	4	8	687	4	5	688
172	D	1	6	593	1	5	942
173	A	2	4	847	2	1	840
174	A	3	4	699	3	3	700
175	B	4	8	481	4	5	510
176	D	1	6	573	1	5	962
177	C	2	4	679	2	1	728
178	D	3	4	247	3	3	264
179	A	4	8	686	4	5	681
180	D	1	6	345	1	5	166
181	D	2	8	381	2	7	130
182	A	3	2	218	3	7	221
183	C	4	2	392	4	1	503
184	D	1	4	964	1	7	571
185	D	2	8	1015	2	7	520
186	D	3	2	99	3	7	412
187	A	4	2	508	4	1	507
188	D	1	4	89	1	7	422
189	A	2	8	723	2	7	724
190	D	3	2	127	3	7	384
191	B	4	2	353	4	1	382
192	C	1	4	599	1	7	552
193	B	2	8	266	2	7	277
194	D	3	2	72	3	7	439
195	D	4	2	977	4	1	558
196	B	1	4	755	1	7	748
197	B	2	8	156	2	7	131
198	B	3	2	173	3	7	178
199	B	4	2	973	4	1	978
200	B	1	4	562	1	7	557
201	B	2	2	276	2	5	267
202	C	3	8	238	3	5	145
203	D	4	4	707	4	7	828
204	A	1	2	89	1	3	94
205	B	2	2	642	2	5	669
206	C	3	8	363	3	5	276
207	D	4	4	831	4	7	704
208	C	1	2	182	1	3	201
209	C	2	2	52	2	5	75
210	C	3	8	461	3	5	434
211	C	4	4	665	4	7	742
212	D	1	2	760	1	3	775
213	D	2	2	619	2	5	916
214	C	3	8	241	3	5	142
215	C	4	4	433	4	7	462
216	D	1	2	569	1	3	966
217	D	2	2	1003	2	5	532
218	A	3	8	554	3	5	557
219	A	4	4	122	4	7	125
220	B	1	2	273	1	3	270
221	D	2	6	160	2	1	351
222	C	3	6	865	3	1	798
223	D	4	6	410	4	3	101
224	B	1	8	814	1	1	817
225	D	2	6	379	2	1	132
226	A	3	6	145	3	1	150
227	B	4	6	602	4	3	581
228	C	1	8	91	1	1	36
229	A	2	6	238	2	1	233
230	D	3	6	932	3	1	603
231	D	4	6	335	4	3	176
232	A	1	8	7	1	1	0
233	A	2	6	189	2	1	186
234	D	3	6	911	3	1	624
235	A	4	6	629	4	3	626
236	A	1	8	253	1	1	250
237	A	2	6	613	2	1	610
238	B	3	6	413	3	1	386
239	A	4	6	482	4	3	485
240	A	1	8	440	1	1	447
241	C	2	4	919	2	7	1000
242	A	3	4	679	3	3	672
243	B	4	8	909	4	7	914
244	A	1	6	476	1	5	475
245	A	2	4	632	2	7	639
246	C	3	4	731	3	3	676
247	A	4	8	728	4	7	735
248	B	1	6	215	1	5	200
249	B	2	4	648	2	7	663
250	A	3	4	2	3	3	5
251	D	4	8	620	4	7	915
252	A	1	6	915	1	5	916
253	D	2	4	35	2	7	476
254	C	3	4	145	3	3	238
255	A	4	8	491	4	7	492
256	A	1	6	972	1	5	971
257	B	2	4	276	2	7	267
258	B	3	4	906	3	3	917
259	B	4	8	906	4	7	917
260	D	1	6	146	1	5	365
261	D	2	8	184	2	3	327
262	D	3	2	831	3	7	704
263	B	4	2	695	4	5	680
264	C	1	4	938	1	7	981
265	C	2	8	120	2	3	7
266	B	3	2	850	3	7	845
267	A	4	2	153	4	5	158
268	D	1	4	292	1	7	219
269	C	2	8	792	2	3	871
270	B	3	2	303	3	7	304
271	D	4	2	633	4	5	902
272	A	1	4	937	1	7	942
273	A	2	8	452	2	3	451
274	C	3	2	623	3	7	528
275	D	4	2	114	4	5	397
276	A	1	4	614	1	7	609
277	D	2	8	544	2	3	991
278	B	3	2	689	3	7	686
279	B	4	2	397	4	5	402
280	B	1	4	730	1	7	709
281	D	2	2	189	2	5	322
282	A	3	8	676	3	5	675
283	B	4	4	249	4	1	230
284	A	1	2	436	1	3	435
285	B	2	2	441	2	5	422
286	D	3	8	647	3	5	888
287	A	4	4	919	4	1	912
288	D	1	2	290	1	3	221
289	C	2	2	161	2	5	222
290	C	3	8	197	3	5	186
291	D	4	4	364	4	1	147
292	A	1	2	62	1	3	57
293	D	2	2	716	2	5	819
294	A	3	8	483	3	5	484
295	A	4	4	605	4	1	602
296	C	1	2	244	1	3	139
297	D	2	2	727	2	5	808
298	A	3	8	815	3	5	808
299	A	4	4	257	4	1	262
300	C	1	2	783	1	3	880
301	C	2	6	959	2	7	960
302	C	3	6	606	3	1	545
303	D	4	6	993	4	3	542
304	A	1	8	22	1	1	17
305	A	2	6	169	2	7	174
306	D	3	6	995	3	1	540
307	B	4	6	898	4	3	925
308	B	1	8	985	1	1	966
309	C	2	6	135	2	7	248
310	D	3	6	1001	3	1	534
311	A	4	6	518	4	3	513
312	B	1	8	307	1	1	300
313	C	2	6	10	2	7	117
314	A	3	6	746	3	1	749
315	A	4	6	859	4	3	860
316	D	1	8	974	1	1	561
317	C	2	6	307	2	7	332
318	B	3	6	159	3	1	128
319	B	4	6	527	4	3	528
320	B	1	8	204	1	1	211
321	A	2	4	11	2	1	12
322	C	3	4	932	3	3	987
323	A	4	8	955	4	7	956
324	A	1	6	927	1	5	920
325	C	2	4	880	2	1	783
326	C	3	4	59	3	3	68
327	C	4	8	811	4	7	852
328	C	1	6	147	1	5	236
329	D	2	4	729	2	1	806
330	D	3	4	149	3	3	362
331	B	4	8	862	4	7	833
332	A	1	6	682	1	5	685
333	D	2	4	293	2	1	218
334	B	3	4	935	3	3	952
335	D	4	8	64	4	7	447
336	D	1	6	242	1	5	269
337	A	2	4	975	2	1	968
338	C	3	4	315	3	3	324
339	B	4	8	887	4	7	872
340	D	1	6	365	1	5	146
341	C	2	8	729	2	3	678
342	C	3	8	15	3	5	112
343	B	4	2	658	4	5	653
344	A	1	2	366	1	3	361
345	D	2	8	13	2	3	498
346	A	3	8	770	3	5	773
347	A	4	2	298	4	5	301
348	C	1	2	2	1	3	125
349	C	2	8	667	2	3	740
350	B	3	8	973	3	5	978
351	D	4	2	393	4	5	118
352	C	1	2	180	1	3	203
353	B	2	8	145	2	3	142
354	A	3	8	299	3	5	300
355	C	4	2	678	4	5	729
356	D	1	2	204	1	3	307
357	A	2	8	807	2	3	800
358	C	3	8	722	3	5	685
359	C	4	2	745	4	5	662
360	C	1	2	296	1	3	343
361	D	2	2	697	2	5	838
362	D	3	2	110	3	7	401
363	D	4	4	898	4	1	637
364	B	1	4	526	1	7	529
365	C	2	2	705	2	5	702
366	D	3	2	951	3	7	584
367	C	4	4	1015	4	1	904
368	D	1	4	848	1	7	687
369	A	2	2	907	2	5	908
370	A	3	2	584	3	7	591
371	A	4	4	563	4	1	564
372	D	1	4	809	1	7	726
373	A	2	2	531	2	5	532
374	A	3	2	176	3	7	183
375	A	4	4	629	4	1	626
376	D	1	4	332	1	7	179
377	B	2	2	703	2	5	672
378	C	3	2	171	3	7	212
379	C	4	4	92	4	1	35
380	D	1	4	403	1	7	108
381	B	2	6	331	2	1	340
382	A	3	6	13	3	1	10
383	B	4	6	73	4	3	86
384	D	1	6	15	1	5	496
385	A	2	6	635	2	1	636
386	C	3	6	139	3	1	244
387	D	4	6	707	4	3	828
388	B	1	6	940	1	5	947
