job started at Mon Apr 6 17:58:57 EDT 2020
0	A	1	14	782	1	19	777
1	C	2	22	53	2	3	74
2	D	3	8	961	3	9	574
3	B	4	10	219	4	13	196
4	D	1	14	809	1	19	726
5	B	2	22	736	2	3	767
6	C	3	8	747	3	9	660
7	C	4	10	819	4	13	844
8	A	1	14	382	1	19	377
9	B	2	22	128	2	3	159
10	C	3	8	230	3	9	153
11	D	4	10	287	4	13	224
12	A	1	14	648	1	19	655
13	D	2	22	721	2	3	814
14	C	3	8	649	3	9	758
15	B	4	10	808	4	13	823
16	A	1	14	350	1	19	345
17	D	2	22	62	2	3	449
18	A	3	16	429	3	11	426
19	B	4	24	918	4	17	905
20	B	1	20	251	1	15	228
21	D	2	14	276	2	19	235
22	B	3	16	950	3	11	937
23	C	4	24	255	4	17	128
24	D	1	20	137	1	15	374
25	D	2	14	73	2	19	438
26	B	3	16	605	3	11	578
27	D	4	24	116	4	17	395
28	A	1	20	130	1	15	133
29	C	2	14	730	2	19	677
30	C	3	16	988	3	11	931
31	B	4	24	218	4	17	197
32	C	1	20	642	1	15	765
33	B	2	14	291	2	19	316
34	C	3	16	873	3	11	790
35	D	4	24	735	4	17	800
36	C	1	20	226	1	15	157
37	D	2	14	599	2	19	936
38	C	3	24	200	3	3	183
39	A	4	12	700	4	21	699
40	A	1	24	353	1	11	358
41	D	2	2	267	2	1	244
42	B	3	24	484	3	3	507
43	C	4	12	849	4	21	814
44	B	1	24	389	1	11	410
45	D	2	2	309	2	1	202
46	D	3	24	813	3	3	722
47	C	4	12	964	4	21	955
48	C	1	24	253	1	11	130
49	B	2	2	425	2	1	438
50	C	3	24	219	3	3	164
51	D	4	12	116	4	21	395
52	B	1	24	112	1	11	111
53	C	2	2	686	2	1	721
54	C	3	24	416	3	3	479
55	B	4	12	537	4	21	518
56	B	1	24	370	1	11	365
57	B	2	2	534	2	1	521
58	A	3	6	821	3	5	818
59	D	4	4	704	4	11	831
60	B	1	6	923	1	1	900
61	A	2	8	531	2	21	532
62	D	3	6	999	3	5	536
63	A	4	4	708	4	11	707
64	D	1	6	702	1	1	833
65	C	2	8	998	2	21	921
66	C	3	6	394	3	5	501
67	D	4	4	337	4	11	174
68	B	1	6	680	1	1	695
69	D	2	8	788	2	21	747
70	A	3	6	898	3	5	901
71	B	4	4	200	4	11	215
72	D	1	6	439	1	1	72
73	C	2	8	1009	2	21	910
74	C	3	6	628	3	5	523
75	D	4	4	500	4	11	11
76	A	1	6	905	1	1	910
77	A	2	8	101	2	21	98
78	D	3	12	594	3	23	941
79	A	4	18	511	4	9	504
80	A	1	4	717	1	9	714
81	B	2	24	409	2	15	390
82	A	3	12	75	3	23	76
83	C	4	18	742	4	9	665
84	B	1	4	635	1	9	612
85	D	2	24	62	2	15	449
86	D	3	12	823	3	23	712
87	D	4	18	63	4	9	448
88	C	1	4	276	1	9	363
89	B	2	24	327	2	15	344
90	B	3	12	539	3	23	516
91	D	4	18	454	4	9	57
92	C	1	4	119	1	9	8
93	C	2	24	628	2	15	523
94	C	3	12	863	3	23	800
95	D	4	18	306	4	9	205
96	D	1	4	584	1	9	951
97	B	2	24	860	2	15	835
98	D	3	14	284	3	15	227
99	C	4	14	505	4	23	390
100	A	1	22	197	1	23	194
101	A	2	12	604	2	7	603
102	C	3	14	207	3	15	176
103	B	4	14	281	4	23	262
104	B	1	22	841	1	23	854
105	A	2	12	261	2	7	258
106	D	3	14	73	3	15	438
