job started at Mon Apr 6 17:58:57 EDT 2020
0	B	1	10	415	1	3	384
1	C	2	22	180	2	13	203
2	B	3	20	205	3	23	210
3	A	4	4	939	4	5	940
4	B	1	10	902	1	3	921
5	B	2	22	771	2	13	796
6	A	3	20	348	3	23	347
7	C	4	4	394	4	5	501
8	B	1	10	850	1	3	845
9	A	2	22	176	2	13	183
10	C	3	20	473	3	23	422
11	B	4	4	747	4	5	756
12	C	1	10	625	1	3	526
13	C	2	22	37	2	13	90
14	B	3	20	580	3	23	603
15	B	4	4	850	4	5	845
16	C	1	10	884	1	3	779
17	D	2	22	956	2	13	579
18	C	3	20	12	3	23	115
19	C	4	18	95	4	17	32
20	A	1	8	59	1	11	60
21	D	2	4	176	2	17	335
22	B	3	16	775	3	21	792
23	D	4	18	351	4	17	160
24	A	1	8	351	1	11	344
25	C	2	4	987	2	17	932
26	C	3	16	324	3	21	315
27	D	4	18	608	4	17	927
28	B	1	8	874	1	11	885
29	A	2	4	331	2	17	332
30	D	3	16	539	3	21	996
31	C	4	18	940	4	17	979
32	D	1	8	409	1	11	102
33	C	2	4	480	2	17	415
34	B	3	16	492	3	21	499
35	A	4	18	970	4	17	973
36	B	1	8	276	1	11	267
37	C	2	4	541	2	17	610
38	A	3	16	353	3	21	358
39	D	4	14	109	4	3	402
40	A	1	18	26	1	7	29
41	D	2	6	210	2	19	301
42	C	3	8	691	3	1	716
43	D	4	14	436	4	3	75
44	A	1	18	125	1	7	122
45	A	2	6	124	2	19	123
46	B	3	8	556	3	1	563
47	B	4	14	863	4	3	832
48	B	1	18	419	1	7	444
49	C	2	6	818	2	19	845
50	B	3	8	633	3	1	614
51	A	4	14	970	4	3	973
52	D	1	18	320	1	7	191
53	A	2	6	441	2	19	446
54	C	3	8	231	3	1	152
55	A	4	14	902	4	3	897
56	D	1	18	740	1	7	795
57	D	2	6	267	2	19	244
58	A	3	8	110	3	1	105
59	C	4	12	150	4	23	233
60	C	1	20	792	1	17	871
61	C	2	2	408	2	21	487
62	B	3	10	187	3	9	164
63	B	4	12	819	4	23	812
64	D	1	20	680	1	17	855
65	B	2	2	357	2	21	378
66	D	3	10	805	3	9	730
67	C	4	12	1001	4	23	918
68	A	1	20	229	1	17	226
69	B	2	2	505	2	21	486
70	B	3	10	783	3	9	784
71	D	4	12	349	4	23	162
72	D	1	20	293	1	17	218
73	A	2	2	284	2	21	283
74	D	3	10	204	3	9	307
75	A	4	12	128	4	23	135
76	B	1	20	330	1	17	341
77	B	2	2	647	2	21	664
78	D	3	10	736	3	9	799
79	B	4	10	856	4	1	839
80	B	1	12	235	1	9	244
81	A	2	10	42	2	23	45
82	A	3	4	848	3	5	855
83	D	4	10	1020	4	1	515
84	B	1	12	915	1	9	908
85	B	2	10	269	2	23	274
86	D	3	4	706	3	5	829
87	D	4	10	62	4	1	449
88	D	1	12	696	1	9	839
89	C	2	10	780	2	23	883
90	A	3	4	366	3	5	361
91	C	4	10	194	4	1	189
92	C	1	12	556	1	9	595
93	A	2	10	174	2	23	169
94	C	3	4	869	3	5	794
95	B	4	10	261	4	1	282
96	C	1	12	724	1	9	683
97	B	2	10	47	2	23	48
