job started at Mon Apr 6 17:25:42 EDT 2020
0	A	1	8	782	1	5	777
1	C	2	2	53	2	15	74
2	D	3	8	961	3	1	574
3	B	4	6	219	4	15	196
4	D	1	8	809	1	5	726
5	B	2	2	736	2	15	767
6	C	3	8	747	3	1	660
7	C	4	6	819	4	15	844
8	A	1	8	382	1	5	377
9	B	2	2	128	2	15	159
10	C	3	8	230	3	1	153
11	D	4	6	287	4	15	224
12	A	1	8	648	1	5	655
13	D	2	2	721	2	15	814
14	C	3	8	649	3	1	758
15	B	4	6	808	4	15	823
16	A	1	8	350	1	5	345
17	D	2	2	62	2	15	449
18	A	3	4	429	3	15	426
19	B	4	14	918	4	7	905
20	B	1	10	251	1	13	228
21	D	2	6	276	2	5	235
22	B	3	4	950	3	15	937
23	C	4	14	255	4	7	128
24	D	1	10	137	1	13	374
25	D	2	6	73	2	5	438
26	B	3	4	605	3	15	578
27	D	4	14	116	4	7	395
28	A	1	10	130	1	13	133
29	C	2	6	730	2	5	677
30	C	3	4	988	3	15	931
31	B	4	14	218	4	7	197
32	C	1	10	642	1	13	765
33	B	2	6	291	2	5	316
34	C	3	4	873	3	15	790
35	D	4	14	735	4	7	800
36	C	1	10	226	1	13	157
37	D	2	6	599	2	5	936
38	C	3	10	200	3	9	183
39	A	4	12	700	4	3	699
40	A	1	4	353	1	3	358
41	D	2	8	267	2	3	244
42	B	3	10	484	3	9	507
43	C	4	12	849	4	3	814
44	B	1	4	389	1	3	410
45	D	2	8	309	2	3	202
46	D	3	10	813	3	9	722
47	C	4	12	964	4	3	955
48	C	1	4	253	1	3	130
49	B	2	8	425	2	3	438
50	C	3	10	219	3	9	164
51	D	4	12	116	4	3	395
52	B	1	4	112	1	3	111
53	C	2	8	686	2	3	721
54	C	3	10	416	3	9	479
55	B	4	12	537	4	3	518
56	B	1	4	370	1	3	365
57	B	2	8	534	2	3	521
58	A	3	14	821	3	13	818
59	D	4	16	704	4	5	831
60	B	1	14	923	1	9	900
